/home/tape_api/start-gw.sh: line 6: export: `BASH_FUNC_which%%=() {  ( alias;': not a valid identifier
INFO:     Started server process [884072]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8001 (Press CTRL+C to quit)
INFO:     127.0.0.1:37356 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:43254 - "POST /api/v1/archive/files/b94f4b78-dad9-41d5-b1aa-c23162ca8a8c/recall HTTP/1.1" 200 OK
INFO:     127.0.0.1:43260 - "GET /api/v1/archive/files/b94f4b78-dad9-41d5-b1aa-c23162ca8a8c HTTP/1.1" 200 OK
INFO:     127.0.0.1:43272 - "POST /api/v1/archive/files/277c1962-b825-4622-8f63-03096ac72288/recall HTTP/1.1" 200 OK
INFO:     127.0.0.1:43274 - "POST /api/v1/archive/files/ef7f947d-bd76-47c1-95ef-113bd53289ab/recall HTTP/1.1" 200 OK
INFO:     127.0.0.1:43290 - "GET /api/v1/archive/files?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:43302 - "POST /api/v1/archive/files/507542e2-5187-4f10-b56b-a88560566d00/recall HTTP/1.1" 200 OK
INFO:     127.0.0.1:43310 - "POST /api/v1/archive/selfheal HTTP/1.1" 200 OK
INFO:     127.0.0.1:43326 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:36574 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:36594 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:36586 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:38968 - "GET /api/v1/archive/files/b94f4b78-dad9-41d5-b1aa-c23162ca8a8c HTTP/1.1" 200 OK
INFO:     127.0.0.1:38976 - "POST /api/v1/archive/files/b94f4b78-dad9-41d5-b1aa-c23162ca8a8c/recall HTTP/1.1" 202 Accepted
INFO:     127.0.0.1:38988 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:54456 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:54458 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:51006 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:51034 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51022 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51044 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:51052 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:56250 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:56256 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:38114 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
